Id, EnrollmentId, StudentId, ClassId, Score, Classification, GradedAt                    , UpdatedAt
 1,            1,         1,       1,   8.5, Merit         , 2026-12-20T00:00:00.0000000Z, 2026-12-20T00:00:00.0000000Z
 2,            2,         1,       3,   7.2, Pass          , 2026-12-21T00:00:00.0000000Z, 2026-12-21T00:00:00.0000000Z
 3,            3,         1,       4,   9.1, Distinction   , 2027-05-20T00:00:00.0000000Z, 2027-05-20T00:00:00.0000000Z
 4,            4,         1,       5,   8.0, Merit         , 2027-05-22T00:00:00.0000000Z, 2027-05-22T00:00:00.0000000Z
 5,            5,        10,       3,   7.5, Pass          , 2026-12-20T00:00:00.0000000Z, 2026-12-20T00:00:00.0000000Z
 6,            6,        10,       2,   8.4, Merit         , 2026-12-22T00:00:00.0000000Z, 2026-12-22T00:00:00.0000000Z
 7,            7,        10,       4,   9.0, Distinction   , 2027-05-28T00:00:00.0000000Z, 2027-05-28T00:00:00.0000000Z
 8,            8,        11,       1,   9.5, Distinction   , 2026-12-20T00:00:00.0000000Z, 2026-12-20T00:00:00.0000000Z
 9,            9,        11,       5,   8.2, Merit         , 2027-05-20T00:00:00.0000000Z, 2027-05-20T00:00:00.0000000Z
10,           10,        11,       6,   7.0, Pass          , 2027-05-25T00:00:00.0000000Z, 2027-05-25T00:00:00.0000000Z
