Id, Name             , Description
 1, VIEW_STUDENTS    , View student records
 2, EDIT_STUDENT     , Edit student records
 3, DELETE_COURSE    , Delete course records
 4, VIEW_COURSES     , View courses information
 5, CREATE_COURSE    , Create new course
 6, VIEW_USERS       , View user accounts
 7, EDIT_INFO        , Edit personal information
 8, CREATE_USER      , Create new user accounts
 9, DELETE_USER      , Delete user accounts
10, CREATE_PERMISSION, Create new permission
11, VIEW_PERMISSIONS , View permissions
12, EDIT_PERMISSION  , Edit permissions
13, VIEW_INSTRUCTORS , View instructor records
14, GET_PERMISSION   , Assign a permission to a role
15, CREATE_SUB       , Create new subject
16, DELETE_SUB       , Delete subject records
17, CREATE_CLASS     , Create new class
18, ENROLLMENTS      , Enroll a student into a class
19, GETOUT           , Remove a student from a class
20, CREATE_GRADE     , Enter a grade for a student
21, EDIT_GRADE       , Edit an existing grade
22, VIEW_SCORE       , View personal academic scores
23, VIEW_SUB         , View subject list
24, EDIT_PROFILE     , Edit personal profile
25, CREATE_STUDENT   , Create new student records
26, DELETE_STUDENT   , Delete student records
