Id, EnrollmentId, StudentId, ClassId, Score, Classification, SubmissionPath                  , GradedAt                    , UpdatedAt
 1,            1,         1,       1,   8.5, Merit         , files/1_assignment.pdf          , 2026-12-20T00:00:00.0000000Z, 2026-12-20T00:00:00.0000000Z
 2,            2,         1,       3,   7.2, Pass          , files/2_assignment.pdf          , 2026-12-21T00:00:00.0000000Z, 2026-12-21T00:00:00.0000000Z
 3,            3,         1,       4,   9.1, Distinction   , files/3_assignment.pdf          , 2027-05-20T00:00:00.0000000Z, 2027-05-20T00:00:00.0000000Z
 4,            4,         1,       5,   8.0, Merit         , files/4_assignment.pdf          , 2027-05-22T00:00:00.0000000Z, 2027-05-22T00:00:00.0000000Z
 5,            5,        10,       3,   7.5, Pass          , files/5_assignment.pdf          , 2026-12-20T00:00:00.0000000Z, 2026-12-20T00:00:00.0000000Z
 6,            6,        10,       2,   8.4, Merit         , files/6_assignment.pdf          , 2026-12-22T00:00:00.0000000Z, 2026-12-22T00:00:00.0000000Z
 7,            7,        10,       4,   9.0, Distinction   , files/7_assignment.pdf          , 2027-05-28T00:00:00.0000000Z, 2027-05-28T00:00:00.0000000Z
 8,            8,        11,       1,   9.5, Distinction   , files/8_assignment.pdf          , 2026-12-20T00:00:00.0000000Z, 2026-12-20T00:00:00.0000000Z
 9,            9,        11,       5,   8.2, Merit         , files/9_assignment.pdf          , 2027-05-20T00:00:00.0000000Z, 2027-05-20T00:00:00.0000000Z
10,           10,        11,       6,   7.0, Pass          , files/10_assignment.pdf         , 2027-05-25T00:00:00.0000000Z, 2027-05-25T00:00:00.0000000Z
11,           11,         1,       2,      ,               , files/11_assignment.pdf         ,                             , 2027-06-01T00:00:00.0000000Z
12,           12,        10,       6,      ,               , files/12_assignment.pdf         ,                             , 2027-06-01T00:00:00.0000000Z
