Id, Name              , Description
 1, VIEW_STUDENTS     , View student records
 2, EDIT_STUDENT      , Edit student records
 3, DELETE_MAJOR      , Delete major records
 4, VIEW_MAJOR        , View major information
 5, CREATE_MAJOR      , Create new major
 6, VIEW_USERS        , View user accounts
 8, CREATE_USER       , Create new user accounts
 9, DELETE_USER       , Delete user accounts
10, CREATE_PERMISSION , Create new permission
11, VIEW_PERMISSIONS  , View permissions
12, EDIT_PERMISSION   , Edit permissions
13, VIEW_INSTRUCTORS  , View instructor records
14, GET_PERMISSION    , Assign a permission to a role
15, CREATE_SUB        , Create new subject
16, DELETE_SUB        , Delete subject records
17, CREATE_CLASS      , Create new class
18, ENROLLMENTS       , Enroll a student into a class
19, GETOUT            , Remove a student from a class
20, ENTER_GRADE       , Enter a grade for a student
21, EDIT_GRADE        , Edit an existing grade
22, VIEW_SCORE        , View personal academic scores
23, VIEW_SUB          , View subject list
24, EDIT_PROFILE      , Edit personal profile
25, CREATE_STUDENT    , Create new student records
26, DELETE_STUDENT    , Delete student records
27, VIEW_CLA          , View class list
28, LIST_STU          , View students enrolled in a class
29, IMPORT_STUDENTS   , Bulk-import student profiles from CSV
30, IMPORT_INSTRUCTORS, Bulk-import instructor profiles from CSV
31, CREATE_INSTRUCTOR , Create new instructor records
32, EDIT_INSTRUCTOR   , Edit instructor records
33, DELETE_INSTRUCTOR , Delete instructor records
34, SUBMITTED         , Submit an assignment file for an enrollment
35, VIEW_COURSES      , View course list
36, CREATE_COURSE     , Create new course
37, DELETE_COURSE     , Delete course records
38, VIEW_CLASS_GRADES , View grade and submission records for a class
