Id, RoleId, PermissionId
 1,      1,            6
 2,      1,            8
 3,      1,            9
 4,      1,            1
 5,      1,           13
 6,      1,            4
 7,      1,            5
 8,      1,            3
 9,      1,           15
10,      1,           16
11,      1,           17
12,      1,           18
13,      1,           19
14,      1,           11
15,      1,           10
16,      1,           12
17,      2,            1
18,      2,            4
19,      2,           20
20,      2,           21
21,      2,           24
22,      3,            4
23,      3,           23
24,      3,           22
25,      3,           24
26,      1,           27
27,      1,           28
28,      2,           27
29,      2,           28
30,      1,           29
31,      1,           30
32,      3,           34
33,      1,           23
34,      1,           35
35,      1,           36
36,      1,           37
37,      1,           38
38,      2,           38
